1965.589041
   Z       E         F
   6  9.078E+02  1.572E-05
   6  1.044E+03  1.077E-05
   6  1.200E+03  7.367E-06
   6  1.380E+03  5.034E-06
   6  1.586E+03  3.441E-06
   6  1.824E+03  2.350E-06
   6  2.098E+03  1.603E-06
   6  2.411E+03  1.095E-06
   6  2.772E+03  7.466E-07
   6  3.187E+03  5.090E-07
   6  3.665E+03  3.469E-07
   6  4.213E+03  2.364E-07
   6  4.844E+03  1.611E-07
   6  5.570E+03  1.097E-07
   6  6.404E+03  7.471E-08
   6  7.363E+03  5.088E-08
   6  8.466E+03  3.464E-08
   6  9.733E+03  2.359E-08
   6  1.119E+04  1.606E-08
   6  1.286E+04  1.094E-08
   6  1.480E+04  7.438E-09
   6  1.700E+04  5.069E-09
   6  1.956E+04  3.445E-09
   6  2.249E+04  2.345E-09
   6  2.585E+04  1.597E-09
   6  2.972E+04  1.086E-09
   6  3.418E+04  7.391E-10
   6  3.930E+04  5.027E-10
   6  4.518E+04  3.422E-10
   6  5.195E+04  2.328E-10
   6  5.972E+04  1.584E-10
   6  6.866E+04  1.078E-10
   6  7.895E+04  7.336E-11
   6  9.078E+04  4.990E-11
   6  1.044E+05  3.396E-11
   6  1.200E+05  2.310E-11
   7  1.400E-01  1.378E-02
   7  1.610E-01  1.571E-02
   7  1.851E-01  1.787E-02
   7  2.128E-01  2.030E-02
   7  2.447E-01  2.302E-02
   7  2.813E-01  2.605E-02
   7  3.234E-01  2.942E-02
   7  3.718E-01  3.314E-02
   7  4.276E-01  3.723E-02
   7  4.915E-01  4.169E-02
   7  5.652E-01  4.651E-02
   7  6.499E-01  5.169E-02
   7  7.472E-01  5.717E-02
   7  8.590E-01  6.292E-02
   7  9.877E-01  6.885E-02
   7  1.136E+00  7.488E-02
   7  1.306E+00  8.088E-02
   7  1.501E+00  8.670E-02
   7  1.726E+00  9.219E-02
   7  1.984E+00  9.713E-02
   7  2.282E+00  1.014E-01
   7  2.624E+00  1.047E-01
   7  3.016E+00  1.069E-01
   7  3.468E+00  1.078E-01
   7  3.987E+00  1.074E-01
   7  4.585E+00  1.056E-01
   7  5.271E+00  1.023E-01
   7  6.061E+00  9.774E-02
   7  6.968E+00  9.193E-02
   7  8.011E+00  8.512E-02
   7  9.211E+00  7.754E-02
   7  1.059E+01  6.948E-02
   7  1.218E+01  6.123E-02
   7  1.400E+01  5.305E-02
   7  1.610E+01  4.519E-02
   7  1.851E+01  3.787E-02
   7  2.128E+01  3.122E-02
   7  2.447E+01  2.531E-02
   7  2.813E+01  2.022E-02
   7  3.234E+01  1.591E-02
   7  3.718E+01  1.233E-02
   7  4.276E+01  9.433E-03
   7  4.915E+01  7.124E-03
   7  5.652E+01  5.315E-03
   7  6.499E+01  3.921E-03
   7  7.472E+01  2.863E-03
   7  8.590E+01  2.071E-03
   7  9.877E+01  1.485E-03
   7  1.136E+02  1.057E-03
   7  1.306E+02  7.466E-04
   7  1.501E+02  5.243E-04
   7  1.726E+02  3.656E-04
   7  1.984E+02  2.541E-04
   7  2.282E+02  1.754E-04
   7  2.624E+02  1.207E-04
   7  3.016E+02  8.285E-05
   7  3.468E+02  5.660E-05
   7  3.987E+02  3.858E-05
   7  4.585E+02  2.622E-05
   7  5.271E+02  1.780E-05
   7  6.061E+02  1.205E-05
   7  6.968E+02  8.145E-06
   7  8.011E+02  5.499E-06
   7  9.211E+02  3.707E-06
   7  1.059E+03  2.495E-06
   7  1.218E+03  1.679E-06
   7  1.400E+03  1.128E-06
   7  1.610E+03  7.571E-07
   7  1.851E+03  5.083E-07
   7  2.128E+03  3.409E-07
   7  2.447E+03  2.284E-07
   7  2.813E+03  1.532E-07
   7  3.234E+03  1.026E-07
   7  3.718E+03  6.871E-08
   7  4.276E+03  4.599E-08
   7  4.915E+03  3.079E-08
   7  5.652E+03  2.060E-08
   7  6.499E+03  1.377E-08
   7  7.472E+03  9.214E-09
   7  8.590E+03  6.163E-09
   7  9.877E+03  4.121E-09
   7  1.136E+04  2.756E-09
   7  1.306E+04  1.842E-09
   7  1.501E+04  1.232E-09
   7  1.726E+04  8.228E-10
   7  1.984E+04  5.507E-10
   7  2.282E+04  3.675E-10
   7  2.624E+04  2.457E-10
   7  3.016E+04  1.643E-10
   7  3.468E+04  1.098E-10
   7  3.987E+04  7.334E-11
   7  4.585E+04  4.899E-11
   7  5.271E+04  3.275E-11
   7  6.061E+04  2.188E-11
   7  6.968E+04  1.462E-11
   7  8.011E+04  9.772E-12
   7  9.211E+04  6.529E-12
   7  1.059E+05  4.361E-12
   7  1.218E+05  2.915E-12
   7  1.400E+05  1.947E-12
   8  1.600E-01  4.216E-02
   8  1.840E-01  4.801E-02
   8  2.115E-01  5.457E-02
   8  2.432E-01  6.194E-02
   8  2.797E-01  7.020E-02
   8  3.214E-01  7.934E-02
   8  3.696E-01  8.950E-02
   8  4.250E-01  1.007E-01
   8  4.886E-01  1.129E-01
   8  5.618E-01  1.262E-01
   8  6.459E-01  1.406E-01
   8  7.427E-01  1.559E-01
   8  8.539E-01  1.720E-01
   8  9.818E-01  1.889E-01
   8  1.129E+00  2.061E-01
   8  1.298E+00  2.235E-01
   8  1.492E+00  2.406E-01
   8  1.715E+00  2.570E-01
   8  1.973E+00  2.723E-01
   8  2.267E+00  2.859E-01
   8  2.608E+00  2.972E-01
   8  2.998E+00  3.057E-01
   8  3.446E+00  3.110E-01
   8  3.963E+00  3.126E-01
   8  4.557E+00  3.103E-01
   8  5.240E+00  3.041E-01
   8  6.024E+00  2.940E-01
   8  6.926E+00  2.802E-01
   8  7.963E+00  2.633E-01
   8  9.155E+00  2.437E-01
   8  1.053E+01  2.222E-01
   8  1.210E+01  1.995E-01
   8  1.392E+01  1.764E-01
   8  1.600E+01  1.536E-01
   8  1.840E+01  1.316E-01
   8  2.115E+01  1.112E-01
   8  2.432E+01  9.247E-02
   8  2.797E+01  7.578E-02
   8  3.214E+01  6.128E-02
   8  3.696E+01  4.885E-02
   8  4.250E+01  3.844E-02
   8  4.886E+01  2.987E-02
   8  5.618E+01  2.295E-02
   8  6.459E+01  1.744E-02
   8  7.427E+01  1.311E-02
   8  8.539E+01  9.772E-03
   8  9.818E+01  7.218E-03
   8  1.129E+02  5.289E-03
   8  1.298E+02  3.848E-03
   8  1.492E+02  2.781E-03
   8  1.715E+02  1.999E-03
   8  1.973E+02  1.427E-03
   8  2.267E+02  1.016E-03
   8  2.608E+02  7.186E-04
   8  2.998E+02  5.070E-04
   8  3.446E+02  3.567E-04
   8  3.963E+02  2.499E-04
   8  4.557E+02  1.747E-04
   8  5.240E+02  1.218E-04
   8  6.024E+02  8.480E-05
   8  6.926E+02  5.891E-05
   8  7.963E+02  4.087E-05
   8  9.155E+02  2.831E-05
   8  1.053E+03  1.959E-05
   8  1.210E+03  1.353E-05
   8  1.392E+03  9.347E-06
   8  1.600E+03  6.447E-06
   8  1.840E+03  4.442E-06
   8  2.115E+03  3.062E-06
   8  2.432E+03  2.108E-06
   8  2.797E+03  1.450E-06
   8  3.214E+03  9.988E-07
   8  3.696E+03  6.868E-07
   8  4.250E+03  4.721E-07
   8  4.886E+03  3.244E-07
   8  5.618E+03  2.230E-07
   8  6.459E+03  1.532E-07
   8  7.427E+03  1.052E-07
   8  8.539E+03  7.226E-08
   8  9.818E+03  4.962E-08
   8  1.129E+04  3.407E-08
   8  1.298E+04  2.339E-08
   8  1.492E+04  1.606E-08
   8  1.715E+04  1.103E-08
   8  1.973E+04  7.563E-09
   8  2.267E+04  5.197E-09
   8  2.608E+04  3.562E-09
   8  2.998E+04  2.445E-09
   8  3.446E+04  1.679E-09
   8  3.963E+04  1.152E-09
   8  4.557E+04  7.903E-10
   8  5.240E+04  5.421E-10
   8  6.024E+04  3.721E-10
   8  6.926E+04  2.553E-10
   8  7.963E+04  1.752E-10
   8  9.155E+04  1.202E-10
   8  1.053E+05  8.248E-11
   8  1.210E+05  5.658E-11
   8  1.392E+05  3.883E-11
   8  1.600E+05  2.664E-11
   9  1.900E-01  7.908E-04
   9  2.185E-01  9.015E-04
   9  2.512E-01  1.026E-03
   9  2.888E-01  1.166E-03
   9  3.321E-01  1.324E-03
   9  3.817E-01  1.499E-03
   9  4.389E-01  1.694E-03
   9  5.046E-01  1.910E-03
   9  5.803E-01  2.148E-03
   9  6.671E-01  2.408E-03
   9  7.670E-01  2.691E-03
   9  8.820E-01  2.995E-03
   9  1.014E+00  3.318E-03
   9  1.166E+00  3.659E-03
   9  1.340E+00  4.013E-03
   9  1.541E+00  4.376E-03
   9  1.772E+00  4.739E-03
   9  2.037E+00  5.096E-03
   9  2.343E+00  5.437E-03
   9  2.692E+00  5.750E-03
