  160  ULEMISTE                      EETN  TALLINN, ESTONIA              5924480002450060}001310  
  161  ENONTEKIO                     EFET  ENONTEKIO, FINLAND            6822000002325240}010050  
  162  HALLI                         EFHA  HALLI, FINLAND                6151240002447120}004790  
  163  HELSINKI/MALMI                EFHF  HELSINKI, FINLAND             6015180002502420}000570  
  164  HELSINKI-VANTAA               EFHK  HELSINKI, FINLAND             6019360002458180}001670  
  165  IVALO                         EFIV  IVALO, FINLAND                6836240002724240}004810  
  166  KAUHAVA                       EFKA  KAUHAVA, FINLAND              6307360002303060}001510  
  167  OULU                          EFOU  OULU, FINLAND                 6455480002521360}000470  
  168  PORI                          EFPO  PORI, FINLAND                 6127480002147540}000440  
  169  RAAHE-PATTIJOKI               EFRH  RAAHE-PATTIJOKI, FINLAND      6441180002441240}001180  
  170  TAMPERE-PIRKKALA              EFTP  TAMPERE-PIRKKALA, FINLAND     6124480002336240}003900  
  171  TURKU                         EFTU  TURKU, FINLAND                6030540002215540}001610  
  172  VAASA                         EFVA  VASSA, FINLAND                6302420002145480}000150  
  173  ALDERGROVE                    EGAA  BELFAST, UNITED KINGDOM       54391200006133600002670  
  174  EGLINTON                      EGAE  LONDONDERRY, UNITED KINGDOM   55023600007092400000230  
  175  BIRMINGHAM                    EGBB  BIRMINGHAM, UNITED KINGDOM    52271200001444800003250  
  176  MANCHESTER INTL               EGCC  MANCHESTER, UNITED KINGDOM    53211200002162400002560  
  177  CARDIFF                       EGFF  CARDIFF, UNITED KINGDOM       51234800003205400002200  
  178  LULSGATE                      EGGD  BRISTOL, UNITED KINGDOM       51225400002425400006220  
  179  LIVERPOOL                     EGGP  LIVERPOOL, UNITED KINGDOM     53200000002510000000810  
  180  LUTON                         EGGW  LONDON/LUTON, UNITED KINGDOM  51522400000220600005260  
  181  ROBOROUGH                     EGHD  PLYMOUTH, UNITED KINGDOM      50252400004063600004740  
  182  EASTLEIGH/SOUTHAMPTON         EGHI  SOUTHAMPTON/EASTLEIGH, UK     50570000001212400000440  
  183  GUERNSEY                      EGJB  GUERNSEY,GUERNSEY CHAN I, UK  49261200002361200003360  
  184  JERSEY                        EGJJ  JERSEY, JERSEY CHANNEL I, UK  49123600002114200002770  
  185  GATWICK                       EGKK  LONDON, UNITED KINGDOM        51084800000115400001960  
  186  HEATHROW                      EGLL  LONDON, UNITED KINGDOM        51281800000271200000800  
  187  HUMBERSIDE                    EGNJ  HUMBERSIDE, UNITED KINGDOM    53343600000210000001220  
  188  LEEDS-BRADFORD                EGNM  LEEDS & BRADFORD, U KINGDOM   53515400001392400006820  
  189  HAWARDEN                      EGNR  HAWARDEN, UNITED KINGDOM      53104800002583000000350  
  190  NEWCASTLE                     EGNT  NEWCASTLE, UNITED KINGDOM     55021200001413000002640  
